"Cost","Gamma","Accuracy","AccLCL","Time"
-9,-15,65.0073206442167,60.800080695145,4.09159874916077
-9,-14,65.0073206442167,63.713513064935,4.09402751922607
-9,-13,65.0073206442167,60.7069000810502,4.23117232322693
-9,-12,65.0073206442167,59.9184179972971,4.09694814682007
-9,-11,65.0073206442167,61.1053844448728,4.11676454544067
-9,-10,65.0073206442167,61.7874624074437,4.26005053520203
-9,-9,65.0073206442167,60.7904795919291,4.08389329910278
-9,-8,65.0073206442167,61.2000433537036,4.08047485351562
-9,-7,65.0073206442167,60.1373631220494,4.22265982627869
-9,-6,65.0073206442167,61.2792854367211,4.07016491889954
-9,-5,65.0073206442167,62.73324397455,4.12876009941101
-9,-4,65.0073206442167,62.1357058076608,4.40990900993347
-9,-3,65.0073206442167,61.6253243748707,4.42762112617493
-9,-2,65.0073206442167,60.7473000057358,4.14208292961121
-9,-1,65.0073206442167,60.6950785298764,4.16724061965942
-9,0,65.0073206442167,62.092504917604,4.17087411880493
-9,1,65.0073206442167,61.6292591245963,4.36427807807922
-9,2,65.0073206442167,59.9126578669443,4.30468010902405
-9,3,65.0073206442167,62.2085768240904,4.28037524223328
-9,4,65.0073206442167,62.5718413575635,4.28232526779175
-9,5,65.0073206442167,62.9805826313326,4.28438138961792
-9,6,65.0073206442167,61.986828731852,6.30212616920471
-9,7,65.0073206442167,61.7856790284971,6.44106650352478
-9,8,65.0073206442167,60.6221852773223,6.7124707698822
-9,9,65.0073206442167,61.8703121480556,6.71927332878113
-9,10,65.0073206442167,62.5562036619598,6.78652691841125
-8,-25,65.0073206442167,61.6261669732077,4.27708148956299
-8,-24,65.0073206442167,62.8895587643101,4.14479279518127
-8,-23,65.0073206442167,61.4790825673238,4.13010787963867
-8,-22,65.0073206442167,60.915809335496,4.15327453613281
-8,-21,65.0073206442167,62.6760426919166,4.20487689971924
-8,-20,65.0073206442167,62.2888253182125,4.32941937446594
-8,-19,65.0073206442167,60.2074295227657,4.09573650360107
-8,-18,65.0073206442167,61.3381615146596,4.1282901763916
-8,-17,65.0073206442167,60.2536580784396,4.14333057403564
-8,-16,65.0073206442167,61.2319652534839,4.30086398124695
-8,-15,65.0073206442167,60.7345197489892,4.15514230728149
-8,-14,65.0073206442167,60.6233115941699,4.12283873558044
-8,-13,65.0073206442167,61.4827640393202,4.28340482711792
-8,-12,65.0073206442167,61.7597131324773,4.10200691223145
-8,-11,65.0073206442167,60.5752826497137,4.13764500617981
-8,-10,65.0073206442167,61.8250003763719,4.14444518089294
-8,-9,65.0073206442167,61.1299103344045,4.21787929534912
-8,-8,65.0073206442167,61.7085269274337,4.09006118774414
-8,-7,65.0073206442167,60.8988174475436,4.08427453041077
-8,-6,65.0073206442167,61.5475049063772,4.1535005569458
-8,-5,65.0073206442167,63.5798942195258,4.1055691242218
-8,-4,65.0073206442167,62.2644212045008,4.47679233551025
-8,-3,65.0073206442167,61.6082827801779,4.12209057807922
-8,-2,65.0073206442167,61.0409638056968,4.08269906044006
-8,-1,65.0073206442167,61.7337340971448,4.12719488143921
-8,0,65.0073206442167,61.1778635948789,4.33359575271606
-8,1,65.0073206442167,62.2428524993878,4.19784998893738
-8,2,65.0073206442167,60.6562700659071,4.24196481704712
-8,3,65.0073206442167,61.8287141690431,4.213707447052
-8,4,65.0073206442167,63.4594596877437,4.25831389427185
-8,5,65.0073206442167,60.6562241404586,4.20165657997131
-8,6,65.0073206442167,61.2115306048689,6.03358840942383
-8,7,65.0073206442167,61.1559180167779,6.58203530311584
-8,8,65.0073206442167,61.5543917937276,6.63506507873535
-8,9,65.0073206442167,61.5374214511893,6.66174697875977
-8,10,65.0073206442167,61.1839906855253,6.67542886734009
-7,-25,65.0073206442167,60.4612114886265,4.04913449287415
-7,-24,65.0073206442167,61.6893189811135,4.05637884140015
-7,-23,65.0073206442167,62.2206596543221,4.21525168418884
-7,-22,65.0073206442167,61.642894124448,4.05736422538757
-7,-21,65.0073206442167,61.1220519274865,4.0416374206543
-7,-20,65.0073206442167,61.8307068421395,4.190673828125
-7,-19,65.0073206442167,61.3060655724999,4.0408821105957
-7,-18,65.0073206442167,62.0105276632233,4.04327607154846
-7,-17,65.0073206442167,61.6734816665093,4.05726504325867
-7,-16,65.0073206442167,60.4012080077408,4.07752561569214
-7,-15,65.0073206442167,61.0120943064041,4.07045006752014
-7,-14,65.0073206442167,61.5167188561119,4.21775197982788
-7,-13,65.0073206442167,62.7059967198388,4.04318928718567
-7,-12,65.0073206442167,61.1737526526431,4.04469990730286
-7,-11,65.0073206442167,62.1897597685658,4.24406123161316
-7,-10,65.0073206442167,62.1634671707661,4.21464681625366
-7,-9,65.0073206442167,62.7393871862111,4.2540237903595
-7,-8,65.0073206442167,61.5843498488585,4.29628038406372
-7,-7,65.0073206442167,63.428282529392,4.30249094963074
-7,-6,65.0073206442167,61.7636589177264,4.08628463745117
-7,-5,65.0073206442167,61.2894553644147,4.19191265106201
-7,-4,65.0073206442167,60.6621905947644,4.0793788433075
-7,-3,65.0073206442167,61.5419547976223,4.12304258346558
-7,-2,65.0073206442167,59.2518160167437,4.12849950790405
-7,-1,65.0073206442167,62.9812708772299,4.25855731964111
