"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
-6,5,0.8,1539.0880856906,2217.53234057388,0.0183136463165283
-6,6,0.8,1523.24908697567,2314.49182260074,0.0189070701599121
-6,7,0.8,1528.28301550338,2311.95807855415,0.0188660621643066
-6,8,0.8,1553.04510383078,2533.50902681431,0.0189311504364014
-6,9,0.8,1493.29122141447,2197.72897324842,0.0186436176300049
-6,10,0.8,1544.3551024834,2351.75122083153,0.0188057422637939
-5,-25,0.8,1563.56021647143,2859.65655744449,0.0189864635467529
-5,-24,0.8,1495.76661704191,2035.45872018564,0.0165190696716309
-5,-23,0.8,1581.33199929229,2313.30857072052,0.0161998271942139
-5,-22,0.8,1546.2322668902,2363.50438099401,0.0162014961242676
-5,-21,0.8,1559.9813010515,2390.91748447279,0.0164813995361328
-5,-20,0.8,1504.78050807667,2117.00514693541,0.0162935256958008
-5,-19,0.8,1524.14934565094,2249.35513035558,0.0163071155548096
-5,-18,0.8,1550.94948955351,2205.08673255489,0.0191450119018555
-5,-17,0.8,1500.68671978767,2363.8434845175,0.0161755084991455
-5,-16,0.8,1539.376086953,2330.69504659065,0.016387939453125
-5,-15,0.8,1526.5254329591,2489.47867971334,0.0161843299865723
-5,-14,0.8,1519.79042394265,2536.99000648224,0.0162196159362793
-5,-13,0.8,1557.02324673392,2562.50520109154,0.0165073871612549
-5,-12,0.8,1532.13751156596,2345.51288929656,0.0186665058135986
-5,-11,0.8,1477.48380087166,2230.33804455702,0.0165305137634277
-5,-10,0.8,1518.81995556333,2100.61553607513,0.0162222385406494
-5,-9,0.8,1533.06558795675,2272.45404453118,0.0160846710205078
-5,-8,0.8,1498.40725144364,2026.50143833487,0.0165998935699463
-5,-7,0.8,1505.79742029631,2253.03276036123,0.0162279605865479
-5,-6,0.8,1543.42214528835,2272.50480820506,0.0162007808685303
-5,-5,0.8,1494.73154938368,2203.25200979913,0.0189201831817627
-5,-4,0.8,1448.37810076891,2250.08980003424,0.0161890983581543
-5,-3,0.8,1502.15971921436,2646.02197672055,0.0165457725524902
-5,-2,0.8,1544.85960212556,2570.67884897639,0.0160818099975586
-5,-1,0.8,1517.57109083251,2387.34364966732,0.0160601139068604
-5,0,0.8,1511.57831256562,2211.3665189087,0.0165679454803467
-5,1,0.8,1504.62308630893,2246.48345659609,0.0168166160583496
-5,2,0.8,1526.21763113666,2315.75498752938,0.020061731338501
