"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
4,-14,0.1,118.696756710558,140.915741897085,0.0149378776550293
4,-13,0.1,103.654588203764,120.290285774755,0.0194311141967773
4,-12,0.1,91.0784446175525,115.016998469744,0.0176124572753906
4,-11,0.1,70.5963213838479,82.705213499972,0.0156710147857666
4,-10,0.1,51.0443838264038,64.4599820504555,0.0155766010284424
4,-9,0.1,42.3597169740494,58.4423014522886,0.0158312320709229
4,-8,0.1,41.1275666484313,60.0510842488776,0.0163471698760986
4,-7,0.1,34.8218087275378,57.0486090830333,0.0184319019317627
4,-6,0.1,29.1187600373689,42.9283480785503,0.0271925926208496
4,-5,0.1,27.2534119996678,41.8790675349351,0.0229084491729736
4,-4,0.1,21.2602040772543,28.3024170826154,0.0292675495147705
4,-3,0.1,15.2050702282603,22.437870167737,0.0355870723724365
4,-2,0.1,11.7706231175725,14.4132017966153,0.0377883911132812
4,-1,0.1,10.9534931662154,15.3313678406236,0.0320429801940918
4,0,0.1,24.0413700350252,32.2793076788509,0.0303051471710205
4,1,0.1,43.7305490368043,56.509720356398,0.0306484699249268
4,2,0.1,60.94407964535,72.847666709026,0.0242700576782227
4,3,0.1,74.5332113862402,86.2585324451017,0.0247757434844971
4,4,0.1,94.7307573642716,112.107801206144,0.0228493213653564
4,5,0.1,113.051101149955,127.865001361128,0.0281398296356201
4,6,0.1,117.494175426097,132.349724164009,0.0188722610473633
4,7,0.1,117.971795159273,138.628361814087,0.0222146511077881
4,8,0.1,117.40939018957,137.966953470552,0.0281288623809814
4,9,0.1,120.451212211957,145.176722533204,0.0267043113708496
4,10,0.1,117.969323666777,137.951526325355,0.0269732475280762
5,-25,0.1,121.747271355832,147.031190574464,0.0149683952331543
5,-24,0.1,119.921553561728,143.28484530934,0.0171549320220947
5,-23,0.1,121.501459093048,139.475666853987,0.0148730278015137
5,-22,0.1,119.625866333417,131.478861674828,0.0148191452026367
5,-21,0.1,120.281315550112,135.513573842839,0.0145564079284668
5,-20,0.1,121.057082551686,138.819845509729,0.0146675109863281
5,-19,0.1,121.378163843644,136.256282683595,0.0145437717437744
5,-18,0.1,121.583008670168,134.982079546133,0.0145359039306641
5,-17,0.1,120.989106506515,143.915693101201,0.0144786834716797
5,-16,0.1,117.08557652514,139.467029987196,0.0167534351348877
5,-15,0.1,116.676426791526,142.013949414409,0.0147995948791504
5,-14,0.1,101.678554620275,117.143971517444,0.0145425796508789
5,-13,0.1,90.2308666019663,103.487969336584,0.0145092010498047
5,-12,0.1,68.9871382391686,82.3812520513696,0.0146653652191162
5,-11,0.1,50.7656648625861,57.2796855068625,0.0146939754486084
